id_x,projectType,projectName,projectCategory,slug,slugId,status,projectAge,reraId,countryId,stateId,cityId,localityId,subLocalityId,projectSummary,possessionDate,id_y,landmark,fullAddress,pincode,propertyCategory,type,customBHK,id_variant,configurationId,bathrooms,privateBathrooms,publicBathrooms,balcony,furnishedType,furnishingType,lift,ageOfProperty,parkingType,listingType,floorPlanImage,carpetArea,price,propertyImages,maintenanceCharges,aboutProperty,createdAt,updatedAt
cmf53kkzy000fvcu8tx8jwjmr,RESIDENTIAL,Ashwini,STANDALONE,luxury-ashwini-ashoknagar-chembur-mumbai-675058,,UNDER_CONSTRUCTION,,"[""P99000056045""]",cmfw6qdtd0000vx6uelma0klf,cmf3ze56e0002vcf8e0hjqnsw,cmf6nu3ru000gvcxspxarll3v,cmf6pksk30035vcxs7r2mo3iq,cmfdkuymm0001vc90iiyzkr8d,,28-09-2025 00:00,cmf53kl01000nvcu8ibut7fka,Babys school,Mumbai chembur,411017,RESIDENTIAL,1BHK,,cmff8vfoq0013vxp7h3onmg46,cmf53kkzz000ivcu89r5399s4,1,,,1,UNFURNISHED,[],FALSE,,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757584023815-67012c27580e3e23.jpg,123,11111111,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1756971672464-1e5179453b5df91d.jpg""]",,jjhhhu,07:21.4,07:21.4
cmf53kkzy000fvcu8tx8jwjmr,RESIDENTIAL,Ashwini,STANDALONE,luxury-ashwini-ashoknagar-chembur-mumbai-675058,,UNDER_CONSTRUCTION,,"[""P99000056045""]",cmfw6qdtd0000vx6uelma0klf,cmf3ze56e0002vcf8e0hjqnsw,cmf6nu3ru000gvcxspxarll3v,cmf6pksk30035vcxs7r2mo3iq,cmfdkuymm0001vc90iiyzkr8d,,28-09-2025 00:00,cmf53kl01000nvcu8ibut7fka,Babys school,Mumbai chembur,411017,RESIDENTIAL,2BHK,,cmff8vjd4001dvxp7tq21djvf,cmf53kl00000kvcu86ivy65di,0,,,2,UNFURNISHED,[],FALSE,,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1756971672464-419924a4c5c28823.jpg,456,22222222,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1756971672464-7c8c73119cb2047b.jpg""]",,nbhjg,07:26.2,07:26.2
cmf5r6hv00001vxptnfichhfl,RESIDENTIAL,Pristine02,STANDALONE,pristine02-modelcolony-shivajinagar-pune-428955,,READY_TO_MOVE,0,"[""P52100032109""]",cmf3zcoe80000vcf8sd4qfpwd,cmf3ze56e0002vcf8e0hjqnsw,cmf6nu3ru000gvcxspxarll3v,cmf6pk0cn0033vcxshxbf5hdh,cmfdn705v001pvc90uyle9m34,,,cmf5r6hv30008vxptq5el3h5n,Sai nagar ,"sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune ",412101,RESIDENTIAL,2BHK,2BHK,cmf5r6hv20005vxpt3yfnl2qp,cmf5r6hv20004vxpt0l657blu,12,,,3,UNFURNISHED,[],FALSE,,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238520-ba6c9c4021ea321f.jpg,972,120000000,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238541-c8a6e3aced460e18.jpg""]",faded ,about property ,42:08.7,42:08.7
cmf5r6hv00001vxptnfichhfl,RESIDENTIAL,Pristine02,STANDALONE,pristine02-modelcolony-shivajinagar-pune-428955,,READY_TO_MOVE,0,"[""P52100032109""]",cmf3zcoe80000vcf8sd4qfpwd,cmf3ze56e0002vcf8e0hjqnsw,cmf6nu3ru000gvcxspxarll3v,cmf6pk0cn0033vcxshxbf5hdh,cmfdn705v001pvc90uyle9m34,,,cmf5r6hv30008vxptq5el3h5n,Sai nagar ,"sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune ",412101,RESIDENTIAL,2BHK,2BHK,cmf5r6hv20006vxptcx3lmm05,cmf5r6hv20004vxpt0l657blu,3,,,2,UNFURNISHED,[],FALSE,,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238542-2d39a8b06669406b.jpg,188.73,210000000,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238542-bd3d1a40c2d7fadb.jpg""]",,fsdaffdsafsfdddsa,42:08.7,42:08.7
cmfawdrno0007vc18l0fm0z2j,RESIDENTIAL,Gurukripa,COMPLEX,gurukripa-ashoknagar-chembur-mumbai-086047,,UNDER_CONSTRUCTION,,"[""[\""P51800047648\""]""]",cmf3zcoe80000vcf8sd4qfpwd,cmf3ze56e0002vcf8e0hjqnsw,cmf50r5a00000vcj0k1iuocuu,cmf51ieam0001vcj0kljobiod,cmf51ix980003vcj0z7abv17k,,,cmfawdrnt000kvc18h3j7e93j,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,RESIDENTIAL,1BHK,1BHK,cmfawdrnq000bvc188680qjyx,cmfawdrnq000avc18qcvaxzi9,1,,,1,UNFURNISHED,[],FALSE,,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391101-b4e4be9945434d29.jpg,426.57,13000000,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391106-7c383f81d9c66290.jpg""]",,na,06:37.0,06:37.0
cmfawdrno0007vc18l0fm0z2j,RESIDENTIAL,Gurukripa,COMPLEX,gurukripa-ashoknagar-chembur-mumbai-086047,,UNDER_CONSTRUCTION,,"[""[\""P51800047648\""]""]",cmf3zcoe80000vcf8sd4qfpwd,cmf3ze56e0002vcf8e0hjqnsw,cmf50r5a00000vcj0k1iuocuu,cmf51ieam0001vcj0kljobiod,cmf51ix980003vcj0z7abv17k,,,cmfawdrnt000kvc18h3j7e93j,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,RESIDENTIAL,1BHK,1BHK,cmfawdrnr000cvc1897rpsu1b,cmfawdrnq000avc18qcvaxzi9,1,,,1,UNFURNISHED,[],FALSE,,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391141-e6c14becbdbd76a2.jpg,460.8,15000000,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391150-9b806803ceb0c8b6.jpg""]",,na,06:37.0,06:37.0
cmfawdrno0007vc18l0fm0z2j,RESIDENTIAL,Gurukripa,COMPLEX,gurukripa-ashoknagar-chembur-mumbai-086047,,UNDER_CONSTRUCTION,,"[""[\""P51800047648\""]""]",cmf3zcoe80000vcf8sd4qfpwd,cmf3ze56e0002vcf8e0hjqnsw,cmf50r5a00000vcj0k1iuocuu,cmf51ieam0001vcj0kljobiod,cmf51ix980003vcj0z7abv17k,,,cmfawdrnt000kvc18h3j7e93j,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,RESIDENTIAL,3BHK,3BHK,cmfawdrnr000evc18jwvlery4,cmfawdrnr000dvc188hupv4yy,3,,,2,UNFURNISHED,[],FALSE,,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391158-41329b8304cff17d.jpg,893.08,29000000,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391167-19d3844213de86cb.jpg""]",,na,06:37.0,06:37.0
cmfawdrno0007vc18l0fm0z2j,RESIDENTIAL,Gurukripa,COMPLEX,gurukripa-ashoknagar-chembur-mumbai-086047,,UNDER_CONSTRUCTION,,"[""[\""P51800047648\""]""]",cmf3zcoe80000vcf8sd4qfpwd,cmf3ze56e0002vcf8e0hjqnsw,cmf50r5a00000vcj0k1iuocuu,cmf51ieam0001vcj0kljobiod,cmf51ix980003vcj0z7abv17k,,,cmfawdrnt000kvc18h3j7e93j,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,RESIDENTIAL,3BHK,3BHK,cmfawdrnr000fvc18af74elnu,cmfawdrnr000dvc188hupv4yy,3,,,2,UNFURNISHED,[],FALSE,,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391179-7f2bff943c2805a5.jpg,918.27,29000000,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391188-7b25319224e8a812.jpg""]",,na,06:37.0,06:37.0
cmfawdrno0007vc18l0fm0z2j,RESIDENTIAL,Gurukripa,COMPLEX,gurukripa-ashoknagar-chembur-mumbai-086047,,UNDER_CONSTRUCTION,,"[""[\""P51800047648\""]""]",cmf3zcoe80000vcf8sd4qfpwd,cmf3ze56e0002vcf8e0hjqnsw,cmf50r5a00000vcj0k1iuocuu,cmf51ieam0001vcj0kljobiod,cmf51ix980003vcj0z7abv17k,,,cmfawdrnt000kvc18h3j7e93j,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,RESIDENTIAL,2BHK,2BHK,cmfawdrns000hvc18t3u6jukg,cmfawdrnr000gvc18iunqlv98,2,,,2,UNFURNISHED,[],FALSE,,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391195-0e9c4aa442f80776.jpg,804.6,26000000,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391202-e4d28b891dcb832f.jpg""]",,na,06:37.0,06:37.0
cmfawdrno0007vc18l0fm0z2j,RESIDENTIAL,Gurukripa,COMPLEX,gurukripa-ashoknagar-chembur-mumbai-086047,,UNDER_CONSTRUCTION,,"[""[\""P51800047648\""]""]",cmf3zcoe80000vcf8sd4qfpwd,cmf3ze56e0002vcf8e0hjqnsw,cmf50r5a00000vcj0k1iuocuu,cmf51ieam0001vcj0kljobiod,cmf51ix980003vcj0z7abv17k,,,cmfawdrnt000kvc18h3j7e93j,Sindhi Society,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",400071,RESIDENTIAL,2BHK,2BHK,cmfawdrns000ivc181n6bq8cm,cmfawdrnr000gvc18iunqlv98,2,,,2,UNFURNISHED,[],FALSE,,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391210-70f3ad7351a09d4c.jpg,1036.67,33000000,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391218-4ca8b878a42de5ae.jpg""]",,na,06:37.0,06:37.0
